date,total_load,peak_load,valley_load,load_range,load_std,time_of_peak,time_of_valley,morning_load,afternoon_load,day_of_week,is_weekend
2025-04-21,16597.84,390.8,53.6,337.2,124.5846384690189,07:00:00,23:00:00,10362.560000000001,6235.2800000000025,0,False
2025-04-22,16429.200000000004,404.32,51.76,352.56,126.28215650093374,07:45:00,03:00:00,10279.28,6149.919999999997,1,False
2025-04-23,16716.00000000001,410.32,51.04,359.28,130.35513794004598,07:45:00,22:15:00,10390.16,6325.84,2,False
2025-04-24,17542.560000000005,401.36,48.72,352.64,121.78468042971748,08:00:00,03:30:00,9855.039999999999,7687.520000000001,3,False
2025-04-25,16624.799999999996,370.4,51.84,318.55999999999995,123.35750878090715,07:45:00,03:15:00,9951.039999999997,6673.759999999999,4,False
2025-04-26,4768.4,64.16,38.16,26.0,5.7686469574154255,05:00:00,13:30:00,2464.56,2303.8399999999997,5,True
2025-04-27,8617.119999999999,170.64,46.72,123.91999999999999,46.9569535160531,08:00:00,04:00:00,5384.399999999999,3232.7200000000007,6,True
2025-04-28,16596.24,388.72,52.08,336.64000000000004,122.01672607517897,06:00:00,23:45:00,10128.399999999998,6467.839999999999,0,False
2025-04-29,17709.519999999997,436.72,50.56,386.16,134.75691817933873,07:45:00,23:15:00,10771.68,6937.840000000001,1,False
2025-04-30,18492.559999999994,501.2,50.64,450.56,147.3282946038445,07:00:00,01:00:00,11447.12,7045.440000000001,2,False
2025-05-01,18451.280000000002,536.16,53.68,482.47999999999996,150.79750381618715,07:15:00,00:00:00,11945.999999999996,6505.280000000002,3,False
2025-05-02,17709.199999999997,445.28,52.72,392.55999999999995,135.98285507771823,07:30:00,03:45:00,11183.200000000003,6525.999999999999,4,False
2025-05-03,5603.5999999999985,74.56,50.8,23.760000000000005,4.777577379178184,20:00:00,15:00:00,2798.559999999999,2805.0400000000013,5,True
2025-05-04,8864.560000000003,182.08,50.4,131.68,48.2487962580506,08:00:00,02:30:00,5541.28,3323.2799999999997,6,True
2025-05-05,18023.92000000001,412.56,48.8,363.76,142.90540641436957,10:15:00,23:45:00,10514.16,7509.759999999999,0,False
2025-05-06,15813.439999999995,348.32,48.16,300.15999999999997,115.90182875508017,10:15:00,00:45:00,9457.68,6355.760000000002,1,False
2025-05-07,16525.84,372.56,51.92,320.64,120.09900512026398,07:30:00,00:15:00,9695.679999999998,6830.159999999998,2,False
2025-05-08,17353.519999999993,376.64,51.28,325.36,126.81815323871102,08:15:00,02:30:00,9912.239999999998,7441.280000000001,3,False
2025-05-09,17857.120000000003,400.64,51.12,349.52,139.55734602978518,10:30:00,22:15:00,10362.080000000002,7495.039999999999,4,False
2025-05-10,5415.440000000001,70.08,46.0,24.08,4.8185413094501115,04:45:00,23:45:00,2734.88,2680.5600000000004,5,True
2025-05-11,8581.52,179.44,46.16,133.28,49.34438496647109,05:00:00,02:00:00,5446.32,3135.2,6,True
